trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",30,0,-164.55661260293292,"{0: 17, 1: 2, 2: 6, 3: 4, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.8999999999999999}",30,0,-120.66191468923903,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.8499999999999999}",25,0,-119.50631231769552,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.7999999999999998}",20,0,-102.12836578132756,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.7499999999999998}",25,0,-147.03510856252396,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.6999999999999997}",20,0,-159.47669230952818,"{0: 8, 1: 6, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.6499999999999997}",20,0,-84.7706223355786,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.5999999999999996}",30,0,-97.22058076622628,"{0: 22, 1: 5, 2: 0, 3: 1, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.5499999999999996}",20,0,-57.27122269893071,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.4999999999999996}",20,0,-122.65771986777155,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.2, 'e': 0.4499999999999996}",25,16,-51.567852807270015,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.2, 'e': 0.39999999999999963}",25,0,-84.44414007245653,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.34999999999999964}",25,5,-76.9794574279431,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.2, 'e': 0.29999999999999966}",25,0,-33.61469969784061,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.24999999999999967}",20,9,-17.698476198666416,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.19999999999999968}",25,0,-55.37509520740447,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.1499999999999997}",25,11,20.02203563543249,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.09999999999999969}",25,0,-54.94234959962618,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.049999999999999684}",20,3,-102.77361877986989,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
20,False,"{'a': 0.2, 'e': -3.191891195797325e-16}",20,0,9.19613463142147,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",25,7,22.57999657115688,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",30,0,15.870548225958382,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",20,0,24.44301682513648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",25,18,14.74761650549835,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",25,0,-21.292591448753516,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",20,4,12.748089890839701,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",30,18,12.801339320617236,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",30,0,-44.3992964442362,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",20,0,-68.63317148238734,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0.2, 'e': -3.191891195797325e-16}",30,14,-15.294036774880997,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
